source	target	weight
151	31	7
151	177	4
151	178	5
151	22	5
151	132	13
151	12	5
151	13	3
151	179	10
77	79	5
77	22	6
180	1	9
180	48	3
46	1	3
46	47	5
46	181	3
46	48	7
18	20	20
18	182	4
18	22	3
140	141	4
140	144	3
183	22	3
184	185	4
184	20	11
184	90	3
186	80	4
186	81	4
34	1	50
34	35	6
34	102	4
34	187	7
34	103	14
34	118	7
34	188	5
34	36	9
34	106	4
34	48	5
34	37	4
34	108	9
1	189	3
1	54	3
1	190	7
1	191	3
1	192	3
1	100	19
1	47	15
1	193	5
1	35	11
1	102	4
1	187	5
1	103	96
1	194	12
1	118	25
1	188	15
1	36	6
1	7	6
1	195	4
1	196	3
1	171	3
1	197	3
1	160	6
1	198	4
1	199	3
1	106	37
1	125	3
1	122	4
1	200	5
1	201	6
1	202	6
1	48	58
1	37	7
1	107	19
1	9	10
1	31	3
1	108	33
1	119	3
1	203	4
1	49	4
1	12	17
1	110	3
1	29	7
1	14	7
1	112	16
1	204	4
205	19	4
205	72	5
205	40	3
205	22	5
205	206	5
207	208	3
207	73	7
207	209	7
207	210	4
207	25	5
115	69	4
115	211	4
115	212	9
115	213	3
115	214	5
115	40	4
115	146	3
115	215	4
115	216	11
115	22	21
115	217	3
115	26	32
185	20	4
218	160	3
219	20	5
219	40	4
219	22	14
220	221	3
220	49	4
222	20	7
222	223	3
54	55	3
54	162	4
54	57	5
54	224	3
54	56	4
54	225	5
54	48	4
54	31	3
54	14	3
226	199	3
190	14	4
227	137	3
165	162	3
165	167	3
165	131	3
165	176	3
69	20	10
69	73	4
69	146	6
69	31	7
69	96	5
69	74	3
69	22	6
69	25	9
69	228	4
69	26	4
135	229	8
135	19	3
135	230	4
135	231	4
135	20	25
135	182	3
135	65	3
3	9	6
229	64	3
229	232	4
229	231	4
229	20	15
63	64	3
63	65	3
28	29	7
4	7	4
233	234	6
233	25	3
235	20	4
235	182	5
100	101	4
100	103	12
100	107	5
100	108	12
211	217	3
236	237	4
236	238	4
236	20	3
76	57	3
239	20	5
239	240	3
47	103	4
47	160	4
47	48	49
47	49	3
19	20	10
19	72	3
19	40	4
19	21	8
79	20	3
79	44	3
79	72	3
79	40	3
79	22	9
117	103	5
117	104	4
117	119	6
101	201	5
162	167	3
162	131	3
162	225	3
162	176	3
241	242	3
241	243	3
35	103	3
35	118	4
35	108	6
80	81	5
80	244	5
102	187	4
102	36	5
102	108	3
208	210	7
208	25	3
81	244	3
81	82	3
81	86	3
245	157	8
237	238	3
237	20	4
5	194	3
5	7	13
5	8	4
5	246	3
5	200	5
5	11	26
5	12	54
5	15	4
5	16	5
64	232	5
64	20	10
64	247	3
64	248	4
64	65	6
249	244	3
6	7	18
6	250	4
251	25	5
252	253	4
187	36	8
166	169	5
166	179	6
103	118	3
103	188	3
103	104	9
103	254	5
103	106	6
103	201	3
103	48	15
103	107	13
103	108	29
103	119	5
103	109	3
230	20	4
230	40	3
230	182	3
230	255	5
141	142	11
141	144	21
234	70	4
234	256	3
234	25	10
232	20	4
24	26	5
257	152	4
258	259	3
258	60	3
258	73	5
258	26	5
194	7	6
194	11	6
194	12	30
167	131	3
167	176	3
118	188	24
118	106	9
118	37	5
118	108	5
238	20	3
152	260	9
152	261	3
152	169	3
152	31	4
152	12	4
152	262	6
231	20	16
263	264	3
265	20	11
265	223	3
70	73	12
70	96	3
70	256	3
70	266	3
70	25	24
188	106	10
188	37	5
188	108	3
36	37	6
168	132	3
168	12	10
142	144	21
7	8	11
7	250	9
7	267	3
7	9	7
7	31	8
7	11	12
7	12	37
7	13	4
7	110	6
7	15	9
20	247	18
20	154	5
20	72	25
20	40	48
20	182	14
20	127	3
20	136	10
20	255	3
20	268	7
20	242	5
20	223	3
20	269	23
20	146	10
20	248	6
20	21	14
20	74	3
20	65	15
20	90	38
20	91	4
20	41	6
20	270	3
20	22	73
20	271	4
20	272	6
20	137	50
20	87	12
20	273	3
20	206	37
20	274	3
20	138	5
20	275	11
20	276	14
195	277	4
195	122	9
195	12	27
278	72	3
278	40	4
44	279	7
44	22	10
121	123	3
121	12	3
181	48	3
280	29	12
169	171	5
169	253	5
169	281	6
169	282	3
169	132	11
169	13	3
169	110	3
104	119	4
104	109	3
71	75	6
143	144	6
247	272	4
247	137	3
247	275	9
8	11	5
8	12	16
8	15	5
8	16	3
213	26	4
283	29	3
244	84	3
284	209	3
285	22	3
286	9	4
171	253	4
171	281	5
171	177	3
287	146	4
288	267	7
154	127	3
154	90	5
72	40	6
72	73	7
72	256	4
72	266	5
72	22	16
72	25	9
72	137	12
72	206	6
72	157	3
214	22	3
197	203	4
289	22	3
40	269	6
40	90	11
40	41	3
40	22	32
40	276	3
160	48	14
160	49	9
131	176	3
198	201	3
199	201	4
106	48	3
106	108	6
173	178	10
173	179	12
125	290	4
125	12	7
125	29	21
291	12	4
60	22	7
57	22	3
57	132	8
57	292	4
57	12	5
127	268	3
127	90	8
277	122	4
277	12	8
277	293	12
224	56	8
224	294	7
56	294	6
295	48	3
136	274	4
296	90	3
296	91	3
268	90	7
268	275	3
122	297	4
122	12	59
122	293	9
298	110	4
242	243	4
82	86	5
200	12	6
48	49	14
175	177	4
299	29	3
73	96	14
73	209	5
73	210	6
73	22	8
73	25	87
73	300	3
73	26	5
73	301	7
281	177	3
107	108	5
264	26	3
9	31	7
279	22	3
145	146	3
145	25	4
146	302	3
146	22	6
146	25	7
146	26	3
31	22	11
31	132	4
31	13	3
31	206	3
31	14	3
31	228	3
215	22	4
302	25	3
290	29	7
95	25	4
11	12	20
11	15	12
11	16	9
96	22	13
96	25	14
96	303	4
96	26	5
304	22	3
256	266	5
256	25	12
216	22	8
21	22	8
65	90	4
305	12	8
305	293	4
178	179	12
90	91	8
90	22	14
90	206	15
90	275	5
306	307	4
91	22	4
91	206	4
308	12	4
41	22	3
209	210	6
209	25	4
210	25	8
210	301	3
266	25	7
22	309	3
22	25	10
22	132	7
22	87	7
22	12	3
22	13	3
22	206	15
22	310	3
22	26	19
297	12	7
297	293	6
217	26	3
309	26	3
25	303	3
25	311	6
25	300	6
25	312	3
25	313	4
25	26	3
25	301	5
314	157	7
272	137	8
137	206	9
137	274	9
123	12	8
12	307	4
12	13	18
12	110	7
12	15	15
12	293	17
12	16	11
13	315	3
29	316	3
311	300	10
15	16	14
