source	target	weight
96	78	4
96	62	6
96	17	3
96	7	3
27	28	13
27	31	5
27	142	3
27	35	5
27	37	15
27	220	3
159	97	3
159	166	11
159	2	4
159	169	4
159	172	5
159	11	34
159	177	15
159	179	3
159	43	3
159	13	9
69	211	9
69	36	3
69	205	3
69	16	6
19	65	7
19	2	4
19	6	9
19	89	7
19	7	6
60	61	8
60	62	5
181	6	7
181	7	4
97	2	6
97	11	9
97	110	3
97	43	3
97	13	6
221	222	7
221	32	4
221	223	3
224	225	3
226	7	3
227	4	6
227	228	3
227	123	6
227	62	5
227	7	11
227	184	3
229	168	3
229	230	3
231	232	3
231	32	3
98	74	3
98	75	8
98	99	30
98	77	9
98	233	3
98	36	3
98	78	5
98	111	8
98	80	10
90	2	4
90	91	3
192	145	3
192	32	8
192	33	6
192	147	3
192	37	35
192	188	3
232	32	3
234	88	3
74	75	4
74	77	12
74	111	3
74	80	4
65	235	3
65	100	7
65	2	7
65	4	9
65	102	6
65	6	39
65	106	11
65	107	12
65	11	4
65	78	10
65	112	12
65	7	23
65	43	5
28	31	7
28	32	30
28	236	5
28	34	4
28	35	28
28	37	43
28	188	3
200	86	4
222	237	3
222	32	5
238	173	3
209	113	4
1	3	4
239	32	3
239	240	3
241	32	8
241	236	3
241	242	3
241	214	5
241	243	3
244	237	3
244	32	7
244	33	10
244	245	5
244	223	4
244	194	4
244	246	3
244	247	3
75	77	7
75	78	3
235	248	3
235	225	4
249	4	6
249	183	3
249	7	3
29	30	4
29	142	3
29	34	3
29	37	3
144	145	24
144	147	28
166	2	4
166	169	5
166	170	6
166	11	4
166	179	5
166	180	4
99	77	7
99	79	3
99	80	4
76	77	4
100	4	9
100	102	6
100	106	5
100	107	6
100	78	5
100	112	6
100	7	6
197	85	15
197	86	3
197	202	4
250	77	5
134	111	5
2	4	21
2	77	6
2	123	24
2	170	3
2	102	9
2	6	3
2	124	5
2	154	21
2	251	9
2	160	4
2	11	17
2	36	18
2	175	9
2	110	17
2	138	9
2	62	9
2	252	4
2	16	6
2	111	3
2	140	10
2	7	33
2	43	16
2	253	11
2	66	16
2	8	5
2	155	18
30	32	10
30	33	6
30	142	9
30	37	7
30	16	4
30	7	5
237	32	21
237	33	8
237	245	6
237	223	16
237	207	5
237	136	6
167	254	3
31	32	19
31	187	3
31	142	3
31	63	6
31	37	23
31	188	3
31	255	8
31	7	4
168	169	4
168	11	21
168	13	5
85	86	5
85	202	5
46	47	4
256	43	4
4	32	4
4	5	11
4	123	12
4	52	10
4	33	5
4	53	44
4	113	4
4	102	12
4	103	3
4	257	6
4	6	8
4	162	3
4	124	9
4	258	5
4	173	8
4	106	6
4	183	9
4	107	6
4	251	5
4	11	14
4	36	9
4	78	16
4	62	53
4	58	3
4	151	3
4	205	3
4	16	17
4	112	6
4	140	20
4	7	95
4	43	23
4	8	6
145	147	34
145	37	10
259	170	4
259	260	3
259	36	4
32	236	5
32	215	3
32	33	83
32	113	9
32	242	4
32	261	6
32	34	14
32	35	27
32	63	23
32	245	23
32	11	12
32	36	5
32	262	11
32	37	50
32	214	33
32	243	5
32	16	12
32	223	40
32	148	8
32	194	23
32	207	11
32	246	7
32	136	54
32	263	3
146	264	4
146	171	3
146	160	7
146	11	15
146	265	3
146	13	4
146	266	3
264	11	5
267	91	3
267	268	3
86	88	9
86	202	3
86	89	5
269	33	3
236	34	5
236	35	3
236	214	4
236	243	4
270	62	3
5	182	7
5	183	3
5	62	5
5	140	3
5	7	11
5	43	15
5	8	5
5	271	3
210	115	4
210	16	3
57	114	3
187	37	3
187	188	8
187	272	3
77	78	5
77	79	3
77	179	3
77	111	13
77	80	21
91	268	3
156	151	5
156	273	3
156	274	7
156	7	8
156	8	5
123	53	10
123	162	5
123	124	4
123	251	8
123	62	13
123	7	10
123	184	4
169	172	3
169	275	3
169	11	12
169	110	3
169	177	4
169	13	6
169	276	3
217	173	5
217	62	6
277	104	5
170	278	10
170	279	3
170	173	29
170	260	7
170	36	3
170	62	35
170	179	3
170	7	6
170	43	4
52	53	5
52	6	15
52	162	3
52	258	4
52	62	9
52	16	5
52	7	15
52	43	10
52	184	4
171	11	3
280	8	3
281	255	4
33	35	4
33	63	9
33	245	12
33	37	10
33	223	14
33	255	4
33	194	20
33	207	8
33	246	6
33	136	14
157	7	3
157	8	3
53	162	4
53	251	6
53	62	34
53	140	5
53	7	10
53	184	5
278	260	3
278	62	12
172	11	3
282	43	3
282	271	3
279	258	8
147	37	5
61	62	6
113	115	6
113	37	7
113	58	9
113	16	38
275	173	3
102	124	4
102	106	5
102	107	6
102	78	5
102	62	3
102	112	6
102	7	5
283	62	4
242	34	3
242	214	4
242	243	3
284	194	4
103	78	6
257	62	4
257	140	7
257	7	4
285	155	3
6	62	3
6	7	41
6	43	9
6	44	4
162	62	12
162	7	3
286	11	8
286	178	4
261	136	3
124	62	4
124	7	5
287	173	4
287	62	5
142	35	3
288	255	6
34	35	4
34	36	3
34	214	4
34	243	4
289	205	3
258	7	4
290	11	3
173	11	6
173	260	4
173	110	3
173	62	31
173	7	14
173	43	5
173	291	3
292	178	4
292	13	4
158	62	7
158	7	27
158	43	4
106	107	10
106	78	19
106	62	3
106	112	16
198	199	6
183	7	12
183	43	5
183	8	5
211	205	4
211	16	4
35	37	15
35	214	4
63	293	3
63	245	7
63	37	3
63	136	5
154	110	3
154	155	4
107	78	7
107	112	10
294	11	4
294	110	4
248	225	3
245	262	4
245	223	8
245	194	5
245	247	5
245	136	11
174	11	8
174	295	3
251	36	4
251	62	4
251	16	17
251	7	5
251	8	4
89	296	3
89	36	8
89	44	7
296	44	3
160	11	16
109	11	13
109	62	7
109	148	8
11	265	3
11	295	4
11	297	5
11	110	11
11	177	4
11	178	8
11	62	17
11	16	4
11	12	4
11	230	3
11	148	11
11	298	3
11	7	15
11	43	15
11	212	3
11	13	27
11	276	4
11	271	3
260	62	9
36	78	5
36	62	3
36	16	7
36	111	6
36	7	8
36	43	9
36	8	4
36	44	6
265	266	3
110	178	3
110	7	6
110	43	4
110	66	6
110	155	6
138	252	4
138	66	3
138	299	5
177	13	6
262	194	6
262	136	8
178	12	4
115	16	6
37	188	19
37	16	18
78	62	8
78	111	13
78	112	14
78	7	4
62	151	8
62	274	3
62	140	3
62	7	78
62	300	3
62	43	3
62	8	4
62	184	5
214	243	4
58	16	12
151	273	3
151	274	3
151	7	23
151	8	11
79	80	3
205	16	3
205	140	3
301	92	3
16	140	3
16	7	7
16	43	15
223	194	5
223	136	9
273	7	7
274	7	5
179	80	3
302	271	6
140	7	8
140	43	5
194	136	11
7	300	3
7	43	44
7	8	27
7	44	4
7	184	5
43	8	5
43	13	4
66	299	3
