source	target	weight
56	52	63
56	162	20
56	157	5
56	63	11
56	93	4
56	163	7
56	107	4
56	164	3
56	165	7
56	64	3
56	166	3
56	167	6
56	65	3
56	45	7
56	85	15
56	19	12
56	67	9
56	87	39
56	168	5
56	46	23
56	120	3
56	68	5
56	121	10
56	4	87
56	69	10
56	109	23
56	169	3
170	4	6
122	41	4
171	168	4
171	4	3
171	109	4
172	10	5
57	58	3
57	60	4
57	62	3
57	52	3
57	63	3
57	64	4
57	65	7
57	67	3
57	68	5
57	90	6
151	21	3
151	22	3
151	85	11
151	4	13
123	124	3
123	117	4
152	45	3
43	44	5
43	45	3
43	46	18
43	4	3
43	109	3
173	174	7
173	175	3
173	9	19
173	10	26
173	176	4
173	12	10
173	177	4
178	44	10
178	179	7
178	180	8
178	181	17
178	45	4
178	19	4
178	98	3
178	182	6
178	46	21
183	59	3
183	184	4
183	185	3
31	186	3
31	187	8
31	188	6
31	189	7
31	32	12
31	33	29
31	190	3
31	191	3
31	192	4
31	193	14
31	194	5
31	34	4
31	19	4
31	195	3
31	196	13
16	117	3
16	17	7
197	198	4
197	10	4
197	199	5
44	200	4
44	201	3
44	202	3
44	179	20
44	73	3
44	181	9
44	45	6
44	203	8
44	46	58
153	137	4
153	160	3
200	45	3
200	46	13
204	205	3
124	112	3
124	127	7
124	206	3
124	28	3
124	117	4
207	52	8
207	208	5
207	87	17
207	46	3
207	4	4
209	93	4
209	4	3
209	109	4
210	211	3
210	17	3
187	33	4
187	192	4
187	195	3
58	60	4
58	62	3
58	52	3
58	63	3
58	64	7
58	65	6
58	67	3
58	68	3
58	90	3
174	212	8
174	10	9
198	10	10
198	199	8
198	213	4
21	62	5
21	48	7
21	52	9
21	10	9
21	127	3
21	214	3
21	165	4
21	45	5
21	84	3
21	85	11
21	19	26
21	46	5
21	17	17
21	4	12
21	109	3
175	9	4
175	10	11
137	155	3
137	22	3
137	85	12
137	69	8
146	215	3
138	45	3
138	139	3
216	17	4
217	17	6
218	219	8
218	87	3
25	220	5
221	52	4
221	156	3
59	61	23
59	80	4
59	82	17
59	91	3
59	71	8
60	62	3
60	52	3
60	63	4
60	64	5
60	65	6
60	67	5
60	68	5
60	69	4
60	90	5
212	9	3
212	12	6
147	45	7
119	143	4
119	52	4
119	222	5
119	87	3
119	120	5
119	121	4
119	4	3
27	96	4
223	10	4
154	161	3
224	52	3
224	4	5
225	117	3
1	2	5
226	4	4
227	4	4
228	229	7
125	40	3
125	127	17
125	128	10
125	129	16
125	84	11
125	117	3
125	135	3
229	52	3
155	141	3
61	82	28
61	230	4
61	89	4
61	91	5
61	71	8
62	52	13
62	63	8
62	64	3
62	65	3
62	67	8
62	87	9
62	68	5
188	189	3
143	48	4
143	52	7
143	162	3
143	121	6
143	4	16
143	109	4
22	52	12
22	10	3
22	106	4
22	165	4
22	45	9
22	85	11
22	19	11
22	87	5
22	132	3
22	46	6
22	17	4
22	4	25
22	231	3
22	69	5
48	52	10
48	165	5
48	4	26
48	109	7
80	86	16
80	90	4
80	71	3
232	9	3
232	177	3
233	9	4
233	10	4
233	177	6
234	17	4
9	10	63
9	33	3
9	176	4
9	235	3
9	199	12
9	12	17
9	177	11
32	33	6
52	162	4
52	156	3
52	236	4
52	106	8
52	158	6
52	63	19
52	93	13
52	107	9
52	165	20
52	64	3
52	167	6
52	65	3
52	45	11
52	85	16
52	19	20
52	67	27
52	87	76
52	46	21
52	68	4
52	121	23
52	4	92
52	69	11
52	109	24
52	71	3
40	127	7
40	128	18
40	129	4
40	84	5
237	159	3
10	238	4
10	176	4
10	2	4
10	235	3
10	199	47
10	239	7
10	84	5
10	85	13
10	19	6
10	12	52
10	213	13
10	177	4
10	100	12
240	85	8
33	192	3
33	34	3
33	23	4
33	19	7
81	71	5
241	17	4
162	19	4
162	87	3
162	4	18
162	109	3
112	117	5
222	120	7
82	89	7
82	91	3
82	71	13
156	236	6
156	45	14
156	19	3
156	46	4
156	4	8
242	45	3
243	211	3
243	17	7
243	244	3
243	96	4
127	128	4
127	129	12
127	84	12
127	85	6
127	117	18
127	17	17
127	134	4
157	4	5
236	245	3
236	76	3
236	45	4
236	46	3
176	199	4
176	177	3
106	67	5
106	87	3
106	4	16
158	45	13
158	87	4
158	109	3
246	85	3
159	76	4
159	45	8
159	46	3
128	129	6
128	84	6
179	45	4
179	98	6
179	46	14
63	107	8
63	64	3
63	65	3
63	67	10
63	68	5
63	4	7
41	129	3
41	17	4
73	46	3
93	85	3
93	247	4
93	67	4
93	87	6
93	121	12
93	248	4
93	4	8
249	85	4
129	84	8
129	85	3
129	17	4
107	164	4
107	87	4
107	4	7
235	12	3
250	17	3
180	46	6
251	85	3
251	161	3
165	102	4
165	167	8
165	45	5
165	87	4
165	46	8
165	4	41
165	109	27
102	4	13
64	65	7
64	67	3
64	68	3
64	90	3
166	4	3
193	196	10
167	19	3
167	205	4
167	46	3
167	4	21
167	109	9
181	182	5
181	46	11
199	239	3
199	213	6
199	177	3
252	66	3
65	67	3
65	68	4
28	131	4
28	85	3
28	117	5
28	66	5
76	45	6
76	46	3
239	100	4
28	17	14
45	85	22
45	19	29
45	87	4
45	46	70
45	253	3
45	4	14
45	69	3
45	109	5
23	19	5
23	195	3
3	5	3
254	85	3
84	85	12
84	117	3
84	87	5
84	17	8
84	134	5
85	19	3
85	117	9
85	66	7
85	87	11
85	132	5
85	46	12
85	17	21
85	4	18
85	69	6
85	109	3
85	255	6
85	135	3
19	87	6
19	46	25
19	4	10
19	69	4
19	109	4
256	86	3
256	70	3
117	66	4
117	17	12
117	134	3
117	135	6
66	69	5
66	70	6
66	255	3
86	70	3
86	71	4
203	46	6
67	87	19
67	68	5
67	121	5
67	4	13
87	46	8
87	120	4
87	121	10
87	4	31
98	46	15
257	161	3
168	46	3
168	4	30
168	231	3
168	109	16
205	144	4
205	4	15
211	17	3
46	253	3
46	4	39
46	69	4
46	109	5
213	100	3
113	17	4
113	258	3
88	71	3
120	4	4
17	244	3
17	104	3
17	258	3
17	96	14
144	4	10
144	109	3
121	4	10
4	231	4
4	69	6
4	109	63
4	169	6
69	70	4
69	90	7
133	134	5
134	96	4
89	90	6
91	71	4
250	28	3
